"orbis_id","id_layer","id_high","id_low","h3_index","h3_resolution","product","ingestion_date","element_type","geom_type","geometry","tags","mcr_tags","mcr_errors","license","license_zone","osm_identifier","layer_id","access","addr:housename","addr:housenumber","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","construction","covered","culvert","cutting","denomination","disused","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tracktype","tunnel","water","waterway","wetland","width","wood","z_order","way_area"
"53801_14379254530219048960_9447028349707844768",53801,-4067489543490502656,-8999715724001706848,"88608b923dfffff",8,nexventura_26050.000,"2026-01-27",WAY,ST_POLYGON,"POLYGON ((73.0974371 18.4451579, 73.0974407 18.4452595, 73.0975387 18.4452564, 73.097535 18.4451547, 73.0974371 18.4451579))","{""gers_identifier"":""e8f5421b-5fda-46ec-b191-db76d27b9d95"",""layer_id"":""53801"",""license_zone"":""IND"",""building"":""yes"",""supported"":""yes"",""license"":""ODbL""}","{""gers_identifier"":""e8f5421b-5fda-46ec-b191-db76d27b9d95"",""supported"":""yes""}",,ODbL,IND,,"53801",,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53801_14379287273650651136_10648698559509751246",53801,-4067456800058900480,-7798045514199800370,"88608b9a8bfffff",8,nexventura_26050.000,"2026-01-27",WAY,ST_POLYGON,"POLYGON ((73.0780456 18.5704152, 73.0780553 18.5705265, 73.0781159 18.5705216, 73.0781062 18.5704104, 73.0780456 18.5704152))","{""gers_identifier"":""3faea5e5-575b-4692-983b-fa4f783f5d7d"",""layer_id"":""53801"",""license_zone"":""IND"",""building"":""yes"",""supported"":""yes"",""license"":""ODbL""}","{""gers_identifier"":""3faea5e5-575b-4692-983b-fa4f783f5d7d"",""supported"":""yes""}",,ODbL,IND,,"53801",,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53801_14379379607849009152_11800333721602920781",53801,-4067364465860542464,-6646410352106630835,"88608b8f19fffff",8,nexventura_26050.000,"2026-01-27",WAY,ST_POLYGON,"POLYGON ((72.8931985 18.6554808, 72.8932049 18.6555308, 72.8932588 18.6555244, 72.8932523 18.6554744, 72.8931985 18.6554808))","{""data_size_index"":""360000"",""gers_identifier"":""c934b460-6550-4a58-ae72-1ccd807c7a20"",""layer_id"":""53801"",""license_zone"":""IND"",""building"":""yes"",""supported"":""yes"",""license"":""ODbL""}","{""data_size_index"":""360000"",""gers_identifier"":""c934b460-6550-4a58-ae72-1ccd807c7a20"",""supported"":""yes""}",,ODbL,IND,,"53801",,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
