"orbis_id","building","tags","product","license_zone","geometry"
"53801_14379254530219048960_9447028349707844768",yes,"{""gers_identifier"":""e8f5421b-5fda-46ec-b191-db76d27b9d95"",""layer_id"":""53801"",""license_zone"":""IND"",""building"":""yes"",""supported"":""yes"",""license"":""ODbL""}",nexventura_26050.000,IND,"POLYGON ((73.0974371 18.4451579, 73.0974407 18.4452595, 73.0975387 18.4452564, 73.097535 18.4451547, 73.0974371 18.4451579))"
"53801_14379287273650651136_10648698559509751246",yes,"{""gers_identifier"":""3faea5e5-575b-4692-983b-fa4f783f5d7d"",""layer_id"":""53801"",""license_zone"":""IND"",""building"":""yes"",""supported"":""yes"",""license"":""ODbL""}",nexventura_26050.000,IND,"POLYGON ((73.0780456 18.5704152, 73.0780553 18.5705265, 73.0781159 18.5705216, 73.0781062 18.5704104, 73.0780456 18.5704152))"
"53801_14379379607849009152_11800333721602920781",yes,"{""data_size_index"":""360000"",""gers_identifier"":""c934b460-6550-4a58-ae72-1ccd807c7a20"",""layer_id"":""53801"",""license_zone"":""IND"",""building"":""yes"",""supported"":""yes"",""license"":""ODbL""}",nexventura_26050.000,IND,"POLYGON ((72.8931985 18.6554808, 72.8932049 18.6555308, 72.8932588 18.6555244, 72.8932523 18.6554744, 72.8931985 18.6554808))"
